Frame,Visibility,X,Y,theta,l
000000,1,775.62,387.63,0,0
000001,1,777.62,387.43,0,0
000002,1,778.72,387.43,0,0
000003,1,780.32,387.13,0,0
000004,1,781.82,388.83,0,0
000005,1,783.82,389.23,0,0
000006,1,784.22,388.93,0,0
000007,1,784.32,390.53,0,0
000008,1,783.12,389.73,0,0
000009,1,784.22,389.63,0,0
000010,1,787.22,391.33,0,0
000011,1,789.12,391.93,0,0
000012,1,789.42,392.13,0,0
000013,1,790.32,392.93,0,0
000014,1,791.32,392.83,0,0
000015,1,791.52,392.23,0,0
000016,1,792.52,392.03,0,0
000017,1,792.52,391.63,0,0
000018,1,791.52,391.53,0,0
000019,1,791.52,390.93,0,0
000020,1,791.82,389.93,0,0
000021,1,789.62,389.13,0,0
000022,1,789.52,388.33,0,0
000023,1,788.62,389.43,0,0
000024,1,788.32,388.43,0,0
000025,1,786.82,387.43,0,0
000026,1,786.12,386.53,0,0
000027,1,785.12,384.93,0,0
000028,1,784.42,384.43,0,0
000029,1,783.32,383.23,0,0
000030,1,779.62,380.13,0,0
000031,1,778.42,379.83,0,0
000032,1,774.02,378.13,0,0
000033,1,770.72,379.63,0,0
000034,1,768.42,381.13,0,0
000035,1,763.02,382.03,0,0
000036,1,758.62,383.83,0,0
000037,1,753.82,384.43,0,0
000038,1,748.42,387.63,0,0
000039,1,744.72,389.83,0,0
000040,1,740.22,391.23,0,0
000041,1,738.62,392.23,0,0
000042,1,736.82,393.13,0,0
000043,1,734.12,394.53,0,0
000044,1,733.32,395.33,0,0
000045,1,733.32,395.33,0,0
000046,1,731.22,395.83,0,0
000047,1,731.62,396.23,0,0
000048,1,731.62,396.23,0,0
000049,1,731.32,396.13,0,0
000050,1,730.72,395.83,0,0
000051,1,730.22,395.03,0,0
000052,1,730.12,394.53,0,0
000053,1,730.02,394.43,0,0
000054,1,729.92,394.43,0,0
000055,1,729.92,394.43,0,0
000056,1,729.52,394.83,0,0
000057,1,728.62,395.43,0,0
000058,1,728.02,395.93,0,0
000059,1,726.92,396.53,0,0
000060,1,726.02,397.58,115.46334506187137,1.162970334961311
000061,1,724.62,405.53,90.0,1.0
000062,1,724.47,401.88,-79.99202019856041,0.8631338250816218
000063,1,724.9200000000001,400.28,-65.22485943116745,0.7158910531638275
000064,1,724.72,403.53,0,0
000065,1,724.42,404.33,0,0
000066,1,725.22,403.63,0,0
000067,1,725.22,404.63,0,0
000068,1,725.02,406.43,0,0
000069,1,724.92,408.83,0,0
000070,1,724.52,409.03,0,0
000071,1,724.62,407.83,0,0
000072,1,723.62,406.43,0,0
000073,1,722.32,404.23,0,0
000074,1,720.92,403.83,0,0
000075,1,719.52,403.23,0,0
000076,1,718.72,402.13,0,0
000077,1,718.72,402.13,0,0
000078,1,717.12,402.53,0,0
000079,1,717.02,403.63,0,0
000080,1,716.92,404.53,0,0
000081,1,716.92,404.53,0,0
000082,1,716.42,404.53,0,0
000083,1,716.22,405.13,0,0
000084,1,717.62,406.73,0,0
000085,1,716.62,406.23,0,0
000086,1,716.62,406.33,0,0
000087,1,716.82,406.83,0,0
000088,1,717.12,407.53,0,0
000089,1,717.02,408.23,0,0
000090,1,717.02,408.23,0,0
000091,1,717.6,407.9,0,0
000092,1,717.19,407.99,0,0
000093,1,717.19,407.99,0,0
000094,1,716.9,408.3,0,0
000095,1,716.87,408.29,0,0
000096,1,717.37,408.49,0,0
000097,1,717.37,408.49,0,0
000098,1,717.37,408.49,0,0
000099,1,717.37,408.49,0,0
000100,1,717.47,408.49,0,0
000101,1,718.87,408.89,0,0
000102,1,718.57,410.89,0,0
000103,1,719.67,410.69,0,0
000104,1,720.47,410.89,0,0
000105,1,719.77,410.29,0,0
000106,1,719.87,411.39,0,0
000107,1,718.47,407.19,0,0
000108,1,717.37,398.84000000000003,-90.0,0.6500000000000057
000109,1,716.27,387.39,-98.13010235415548,1.4142135623730991
000110,1,717.2,371.45,-96.00900595749258,0.9552486587271252
000111,1,722.72,351.64,-63.03428556712999,3.197655391063886
000112,1,731.5699999999999,334.64,-56.929322177237765,2.5656383221335233
000113,1,740.15,321.55,-62.92791976200769,2.526855753698645
000114,1,748.02,311.64,-47.93567344642098,2.761340254296839
000115,1,757.72,303.69,-49.844000375080604,2.0934421415458644
000116,1,766.37,299.69,-26.56505117707799,1.118033988749895
000117,1,774.9200000000001,298.49,-6.7098368077571555,2.567586415293566
000118,1,784.12,300.64,13.67130713219534,1.9039432764659965
000119,1,793.37,305.59000000000003,33.69006752597822,1.442220510185624
000120,1,802.55,315.1,43.60281897270332,1.4500000000000082
000121,1,810.6700000000001,325.78999999999996,60.25511870305795,2.4186773244895545
000122,1,819.0699999999999,340.78999999999996,68.55226367289514,3.0083217912982363
000123,1,827.5699999999999,359.34000000000003,60.86570780277385,3.491776052383637
000124,0,0,0,0,0
000125,1,816.995,385.385,-171.07038284494473,4.155364003309472
000126,1,793.165,385.6,170.83967019821338,4.522678962738763
000127,1,770.7950000000001,388.86,173.03863621428414,4.12541210062701
000128,1,749.54,386.81,-125.93349726018381,6.73089889984984
000129,1,732.94,365.51,-133.18169703554827,4.457016939613318
000130,1,715.3,345.85,-129.01185162422428,5.083551907869149
000131,1,698.84,330.86,-131.6890584853889,4.285148772213172
000132,1,683.74,317.61,-135.0,3.181980515339464
000133,1,668.75,308.05,-151.46001481204007,3.2442256395016926
000134,1,654.29,302.26,-158.96248897457792,2.785677655436792
000135,1,639.24,298.26,-171.36286858492943,3.9953097501946395
000136,1,625.49,297.31,170.81116392264101,3.444198019858884
000137,1,611.64,299.40999999999997,168.34070734647685,3.216364407215057
000138,1,596.99,304.01,157.12633480937367,3.473110997362491
000139,1,584.3499999999999,302.3,-122.51751061504562,4.743680006071242
000140,1,573.8900000000001,286.86,-121.82744657667322,3.4132096331752133
000141,1,563.8499999999999,274.25,-143.36588612403267,2.4300205760445577
000142,1,554.89,265.31,-131.00908690157078,1.5239750654127997
000143,1,545.29,258.86,-175.76360520094138,2.7073972741361647
000144,1,539.34,257.76,-79.5625246488812,1.9319679086361754
000145,1,537.04,263.76,93.17983011986497,2.7041634565979824
000146,1,534.94,275.51,105.25511870305779,2.850438562747845
000147,1,531.34,294.01,99.56668598971444,4.512759687818519
000148,1,526.7,316.5,97.12501634890138,4.837354648979137
000149,1,522.59,345.51,100.21397298507047,5.639370532249155
000150,1,516.8,378.35,103.33510634104563,6.937038272923099
000151,0,0,0,0,0
000152,0,0,0,0,0
000153,0,0,0,0,0
000154,0,0,0,0,0
000155,1,483.125,605.135,102.02658322502786,11.446233004792441
000156,1,474.41499999999996,654.485,94.43832441945189,6.654956799258723
000157,1,467.26,651.17,0,0
000158,1,459.59,642.88,0,0
000159,1,451.29,640.39,0,0
000160,1,441.96500000000003,642.56,137.52082790770856,1.688083232545137
000161,1,431.28499999999997,651.5799999999999,138.6970493035732,3.454334233973332
000162,1,420.4,662.575,137.4583092027399,3.3795450877300066
000163,1,408.685,679.37,121.98469507772674,2.9356643200475196
000164,1,396.1,701.54,118.48867171901946,4.130108957400514
000165,0,0,0,0,0
000166,0,0,0,0,0
000167,0,0,0,0,0
000168,0,0,0,0,0
000169,0,0,0,0,0
000170,0,0,0,0,0
000171,0,0,0,0,0
000172,0,0,0,0,0
000173,0,0,0,0,0
000174,0,0,0,0,0
000175,0,0,0,0,0
000176,0,0,0,0,0
000177,0,0,0,0,0
000178,0,0,0,0,0
000179,0,0,0,0,0
000180,0,0,0,0,0
000181,0,0,0,0,0
000182,0,0,0,0,0
000183,0,0,0,0,0
000184,1,953.34,466.13,0,0
000185,1,957.51,451.62,0,0
000186,1,961.54,442.1,0,0
000187,1,964.23,432.4,0,0
000188,1,967.96,422.85,0,0
000189,1,972.14,413.75,0,0
000190,1,975.72,410.31,0,0
000191,1,979.6,404.64,0,0
000192,1,983.18,402.11,0,0
000193,1,987.81,400.17,0,0
000194,1,992.73,399.12,0,0
000195,1,996.17,400.17,0,0
000196,1,1000.05,402.55,0,0
000197,1,1004.82,406.43,0,0
000198,1,1009.3,413.0,0,0
000199,1,1012.73,418.97,0,0
000200,1,1017.51,427.48,0,0
000201,1,1022.28,437.17,0,0
000202,0,0,0,0,0
000203,0,0,0,0,0
000204,0,0,0,0,0
000205,0,0,0,0,0
000206,0,0,0,0,0
000207,1,1002.8050000000001,504.03,149.435144978258,2.3401549094024174
000208,1,984.75,514.375,142.88577215284266,2.345021321864668
000209,1,967.6600000000001,518.845,-177.7860595084781,1.9414492009836337
000210,1,950.2750000000001,514.0999999999999,-159.2556730684474,2.3150863914765853
000211,1,934.98,509.325,-177.7860595084781,1.9414492009836337
000212,1,918.0450000000001,505.82000000000005,-157.02168264957317,1.536953154783857
000213,1,900.435,504.9,-176.29271287484266,2.319854521300849
000214,1,884.5450000000001,504.405,178.4845920999775,2.8359918899742795
000215,1,867.6800000000001,505.78999999999996,-175.89490148683723,2.095375861271647
000216,1,852.3050000000001,508.73,172.5642720575234,2.8590426719445596
000217,1,836.19,513.73,-170.99629630651341,2.8754304025658226
000218,1,818.505,519.745,149.7561525483103,1.637940780370271
000219,1,802.685,527.98,146.8530041677435,2.048322484375916
000220,1,785.96,538.05,157.0041059739167,2.2269710370815456
000221,1,771.01,541.06,-171.14569181167815,2.0140009930484237
000222,1,756.155,534.0999999999999,-168.17612562768159,2.7329882912299612
000223,1,741.75,529.905,-173.4851856943186,1.6305290552455713
000224,1,728.235,526.82,-164.99212477948933,1.9308612068193907
000225,1,714.49,526.0150000000001,-168.01981523389114,2.0956442923358476
000226,1,699.63,526.075,177.38795252658065,2.7428497953770727
000227,1,687.5699999999999,527.69,160.38790629109698,1.8471599822429483
000228,1,673.015,531.42,163.66180652926332,2.204002041741351
000229,1,659.65,537.65,165.46554491945923,1.394632568098163
000230,0,0,0,0,0
000231,1,683.755,526.76,-16.273473763080613,4.31800011579434
000232,1,717.19,512.42,-21.297354049033185,3.799473647757022
000233,1,746.875,503.06,-5.925649379789713,2.518456868798823
000234,1,772.0550000000001,499.375,-23.437986527968768,2.828365252226071
000235,1,795.435,497.7,-5.551497527751626,2.687605811870494
000236,1,817.1,498.85,1.1457628381747127,2.5004999500099974
000237,1,836.7,501.4,-7.431407971172054,2.3194827009486496
000238,1,864.38,509.26,15.103140864494021,4.298476474287119
000239,1,874.49,503.815,-33.63918318810387,1.5614816681600516
000240,1,890.75,494.05,-8.13010235415598,1.7677669529663689
000241,1,905.98,486.56,-22.24902365721196,2.376972864800923
000242,1,919.0999999999999,481.79999999999995,-18.43494882292174,1.8973665961010366
000243,1,908.4300000000001,478.90999999999997,-175.60129464500426,1.9557607215607837
000244,1,883.5799999999999,480.06,172.23483398157433,2.2203603311174422
000245,1,859.65,486.04999999999995,172.7468053872748,2.7721832551258214
000246,1,833.88,496.11,151.32685351056537,3.647259244967417
000247,1,809.95,510.7,154.69862137458009,3.041792234851031
000248,1,783.18,531.66,139.96974072811,3.264965543462916
000249,1,757.25,549.1,-170.3802722003013,2.992072860075481
000250,1,728.38,546.46,-176.34777721969357,4.709564735726692
000251,1,696.5999999999999,548.15,-176.95522155580602,4.706644239795471
000252,1,663.1,555.5,163.0724869358533,4.8083261120685385
000253,1,629.55,568.4,149.68878677331867,3.764638096816202
000254,1,591.6800000000001,585.96,146.30993247401977,6.1294371682887725
000255,1,555.255,608.61,135.8400538696972,3.6172399699218256
000256,1,514.145,643.24,137.9304747989276,6.9847423001854825
000257,1,470.375,682.98,149.82513968685208,4.297304387636473
000258,0,0,0,0,0
000259,0,0,0,0,0
000260,0,0,0,0,0
000261,0,0,0,0,0
000262,0,0,0,0,0
000263,0,0,0,0,0
000264,0,0,0,0,0
000265,0,0,0,0,0
000266,0,0,0,0,0
000267,0,0,0,0,0
000268,0,0,0,0,0
000269,0,0,0,0,0
000270,1,601.38,301.54,0,0
000271,1,600.81,287.08,0,0
000272,1,601.67,271.47,0,0
000273,1,597.62,253.83,0,0
000274,1,594.73,238.22,-98.16980836270724,2.040710660529812
000275,1,591.6949999999999,225.065,-96.8615220309124,3.6410781370357967
000276,1,587.215,214.075,-105.90798843321534,3.155859629324486
000277,1,584.035,203.815,-123.66468171483083,3.1298961644118473
000278,1,581.435,196.73000000000002,-123.65959105038951,2.607091291075168
000279,1,577.385,189.64499999999998,-146.33531828516968,3.1298961644118632
000280,1,575.07,184.73,0,0
000281,1,571.32,181.84,0,0
000282,1,567.56,180.97,0,0
000283,1,564.67,182.13,0,0
000284,1,561.49,184.44,0,0
000285,1,559.17,188.78,0,0
000286,1,554.55,194.56,0,0
000287,1,551.37,201.5,0,0
000288,1,548.19,209.89,0,0
000289,1,546.16,222.32,0,0
000290,1,543.9949999999999,234.46,99.4980539024973,2.6361382740668162
000291,1,541.825,247.76,101.25273204758605,2.9466463988744884
000292,1,538.9300000000001,261.78499999999997,94.2472037937926,3.9157534396333
000293,1,534.525,279.435,101.33190171355439,5.114709180393334
000294,1,531.4300000000001,293.74,105.55887081828152,5.29399659992335
000295,1,528.835,307.71000000000004,101.73413517548954,4.105803818986003
000296,1,524.4000000000001,325.78,104.86473993660609,5.535241638808552
000297,1,519.38,344.435,106.30674714805744,5.662801868333389
000298,1,513.9449999999999,355.315,-150.01455991609754,2.5111053343099803
000299,1,507.75,354.89,0,0
000300,1,502.06,356.4,0,0
000301,1,495.455,359.745,164.6649430446407,2.514527788671281
000302,1,488.345,363.925,152.12123834638078,3.218547809183511
000303,1,480.395,370.79,132.14039364934436,3.614280702989179
000304,1,472.115,379.405,136.12086137531,3.2533136952959363
000305,1,463.83,390.365,129.52645302806994,4.336660581599618
000306,1,457.055,402.075,119.70097649364834,4.046634404044908
000307,1,448.19,416.965,120.95368874452758,4.879992315567717
000308,1,439.155,433.70000000000005,117.42052405439236,5.092094362833439
000309,1,430.78499999999997,452.94,113.42548969039711,5.470925424459717
000310,1,420.245,456.87,-163.0309052597958,3.152241266146985
000311,1,410.29499999999996,454.95,-170.8231027540951,3.1351275891102093
000312,1,399.415,454.445,-177.59891517943612,3.938457820010267
000313,1,389.795,456.28499999999997,177.74219601132768,4.188251425117649
000314,1,377.91499999999996,459.79999999999995,161.54364819730662,4.232708943454549
000315,1,367.29,466.24,155.12959589145916,3.78060841664408
000316,1,355.995,473.855,148.25174447758914,4.133503356718103
000317,1,365.70000000000005,465.07,-40.99495923069553,9.314129052144391
000318,1,390.635,445.24,-37.572835374830575,8.232619570950664
000319,1,413.885,428.175,-32.67527256586263,7.751764315302684
000320,1,434.55,414.71000000000004,-31.218402764346344,6.945761297366901
000321,1,471.69500000000005,394.21500000000003,-24.853735553160636,6.364452058111521
000322,1,490.185,385.595,-21.628249435470956,5.222705237709679
000323,1,505.995,380.24,-12.884795988904836,4.888079888872508
000324,1,522.56,376.39,-12.158887279938797,4.367985805837779
000325,1,537.2,374.46500000000003,-3.9512677227361612,4.861555820928078
000326,1,550.9200000000001,373.71500000000003,-1.00405004634299,4.850744788174253
000327,1,563.7149999999999,363.92999999999995,-63.43494882292184,4.3044308566870955
000328,1,573.76,350.12,-51.17759330475652,4.402556075736003
000329,1,584.385,338.245,-54.05279501954512,3.4154428702585418
000330,1,595.425,324.69,-43.50871624661954,2.3094858735224943
000331,1,603.875,318.5,-34.129588172002926,2.5308941107838074
000332,1,611.655,312.65,-40.75438921589674,2.4355954097509938
000333,1,620.52,307.53999999999996,-36.06438615741784,2.2762249449472534
